price,installment,bedroom_count,bathroom_count,carport_count,land_area,building_area,location_encoded
4500000000.0,16000000.0,3,3,0,179.0,200.0,9
3500000000.0,13000000.0,6,4,1,318.0,400.0,4
577000000.0,2000000.0,2,2,1,59.0,61.0,23
340000000.0,1000000.0,3,2,0,60.0,60.0,12
2900000000.0,10000000.0,2,2,0,128.0,133.0,16
13000000000.0,48000000.0,7,3,7,913.0,400.0,13
175000000.0,650000.0,1,1,0,40.0,22.0,17
6500000000.0,24000000.0,7,3,1,205.0,190.0,7
2500000000.0,9000000.0,5,3,0,185.0,230.0,7
1200000000.0,4000000.0,4,4,0,147.0,100.0,10
1450000000.0,5000000.0,3,2,1,105.0,95.0,22
600000000.0,2000000.0,3,2,1,72.0,88.0,6
5000000000.0,18000000.0,3,1,1,238.0,178.0,25
4450000000.0,16000000.0,4,2,2,282.0,278.0,9
23900000000.0,88000000.0,0,0,0,1575.0,1500.0,14
499000000.0,1000000.0,2,1,1,60.0,36.0,20
525000000.0,1000000.0,2,1,1,68.0,42.0,12
7500000000.0,27000000.0,5,3,6,600.0,350.0,24
6200000000.0,23000000.0,10,10,2,300.0,500.0,24
3250000000.0,12000000.0,6,3,1,449.0,150.0,3
5000000000.0,18000000.0,4,4,2,160.0,226.0,0
3600000000.0,13000000.0,24,9,0,120.0,300.0,25
2900000000.0,10000000.0,4,2,0,348.0,200.0,0
2350000000.0,8000000.0,4,4,1,160.0,230.0,1
1300000000.0,4000000.0,2,2,1,161.0,300.0,19
755000000.0,2000000.0,2,1,1,78.0,50.0,21
1690000000.0,6000000.0,3,3,0,81.0,120.0,10
1370000000.0,5000000.0,3,1,1,114.0,90.0,22
300000000.0,1000000.0,2,1,0,60.0,40.0,26
425000000.0,1000000.0,3,2,1,86.0,146.0,26
799000000.0,2000000.0,3,2,0,95.0,66.0,20
550000000.0,2000000.0,2,1,1,90.0,36.0,19
1300000000.0,4000000.0,2,2,3,112.0,48.0,21
532000000.0,1000000.0,2,1,1,48.0,48.0,12
1300000000.0,4000000.0,2,2,2,105.0,80.0,19
11000000000.0,40000000.0,4,4,0,400.0,550.0,4
900000000.0,3000000.0,3,2,1,101.0,70.0,2
1100000000.0,4000000.0,4,2,1,120.0,200.0,2
1600000000.0,5000000.0,3,2,0,129.0,100.0,3
1300000000.0,4000000.0,3,2,0,105.0,80.0,4
850000000.0,3000000.0,2,1,1,156.0,100.0,21
2300000000.0,8000000.0,5,3,2,158.0,220.0,7
5500000000.0,20000000.0,5,3,2,176.0,270.0,7
600000000.0,2000000.0,2,2,0,90.0,84.0,26
3300000000.0,12000000.0,3,3,2,182.0,235.0,24
420000000.0,1000000.0,3,1,1,70.0,82.0,26
17000000000.0,63000000.0,36,36,7,756.0,1500.0,15
400000000.0,1000000.0,3,1,1,108.0,70.0,12
500000000.0,1000000.0,1,1,1,60.0,22.0,19
3500000000.0,13000000.0,15,15,2,126.0,300.0,18
1600000000.0,5000000.0,3,2,1,150.0,90.0,0
3000000000.0,11000000.0,4,4,1,312.0,375.0,9
13000000000.0,48000000.0,7,7,5,405.0,250.0,7
1350000000.0,5000000.0,7,3,4,350.0,250.0,12
1700000000.0,6000000.0,4,2,0,153.0,162.0,6
825000000.0,3000000.0,2,1,0,78.0,45.0,21
300000000.0,1000000.0,2,1,1,67.0,31.0,12
5350000000.0,19000000.0,4,3,0,162.0,210.0,16
1250000000.0,4000000.0,2,2,1,66.0,62.0,7
3200000000.0,11000000.0,5,3,1,200.0,300.0,8
1600000000.0,5000000.0,2,1,0,97.0,153.0,3
5000000000.0,18000000.0,5,3,0,248.0,200.0,13
3950000000.0,14000000.0,4,3,3,685.0,250.0,2
2000000000.0,7000000.0,3,2,2,90.0,75.0,16
1550000000.0,5000000.0,3,3,2,135.0,122.0,10
1500000000.0,5000000.0,3,3,2,90.0,100.0,10
950000000.0,3000000.0,3,3,1,78.0,85.0,10
600000000.0,2000000.0,3,1,1,72.0,58.0,18
2200000000.0,8000000.0,3,3,0,113.0,180.0,10
10500000000.0,39000000.0,52,35,0,500.0,1250.0,15
2900000000.0,10000000.0,14,13,1,200.0,340.0,15
7000000000.0,26000000.0,5,4,4,440.0,420.0,23
2600000000.0,9000000.0,3,2,2,240.0,130.0,8
1890000000.0,7000000.0,3,2,0,101.0,109.0,4
17000000000.0,63000000.0,4,4,0,500.0,450.0,24
430000000.0,1000000.0,2,1,0,105.0,36.0,17
3900000000.0,14000000.0,2,3,1,270.0,450.0,0
1950000000.0,7000000.0,3,4,1,100.0,170.0,10
350000000.0,1000000.0,1,1,1,60.0,45.0,26
13800000000.0,51000000.0,3,3,0,568.0,442.0,25
540000000.0,2000000.0,2,1,0,84.0,48.0,2
1800000000.0,6000000.0,3,2,1,225.0,100.0,2
14000000000.0,52000000.0,0,1,0,454.0,458.0,25
4800000000.0,17000000.0,12,14,5,223.0,600.0,23
8700000000.0,32000000.0,6,4,0,325.0,300.0,7
2800000000.0,10000000.0,3,2,0,191.0,180.0,18
3200000000.0,11000000.0,3,3,1,270.0,350.0,4
975000000.0,3000000.0,3,2,1,120.0,80.0,9
650000000.0,2000000.0,3,1,1,90.0,51.0,19
580000000.0,2000000.0,3,1,1,94.0,85.0,2
2200000000.0,8000000.0,5,2,1,134.0,280.0,18
2500000000.0,9000000.0,4,3,0,160.0,240.0,22
3600000000.0,13000000.0,4,3,2,225.0,300.0,5
3500000000.0,13000000.0,4,3,0,180.0,300.0,8
3000000000.0,11000000.0,4,5,2,109.0,235.0,13
485000000.0,1000000.0,2,1,1,60.0,50.0,19
3950000000.0,14000000.0,3,2,0,202.0,360.0,0
1250000000.0,4000000.0,2,2,1,162.0,95.0,17
1200000000.0,4000000.0,3,2,2,150.0,95.0,2
1570000000.0,5000000.0,4,3,1,102.0,180.0,20
31000000000.0,115000000.0,4,2,0,1324.0,380.0,15
6500000000.0,24000000.0,5,4,2,621.0,400.0,24
2150000000.0,7000000.0,3,1,1,420.0,678.0,5
1350000000.0,5000000.0,3,3,2,146.0,115.0,2
4650000000.0,17000000.0,4,4,2,200.0,270.0,5
3000000000.0,11000000.0,5,5,0,195.0,360.0,5
4750000000.0,17000000.0,5,4,5,513.0,350.0,14
600000000.0,2000000.0,4,2,1,60.0,150.0,10
8000000000.0,29000000.0,3,2,1,415.0,300.0,24
8740000000.0,32000000.0,3,1,3,437.0,300.0,7
5000000000.0,18000000.0,6,3,2,212.0,150.0,18
1600000000.0,5000000.0,5,1,1,180.0,175.0,19
6500000000.0,24000000.0,5,4,4,860.0,600.0,19
1100000000.0,4000000.0,4,1,2,97.0,120.0,0
3200000000.0,11000000.0,5,3,0,203.0,280.0,24
2000000000.0,7000000.0,3,2,0,221.0,165.0,18
2050000000.0,7000000.0,3,4,2,105.0,150.0,8
